25/01/2020 13:00 | zone=1 | sensor=AQ-03 | pm25=NA | no2=20.12
12/01/2019 14:00 | zone=8 | sensor=AQ-99 | pm25=12,3 | no2=40,7
26/08/2019 09:00 | zone=9 | sensor=AQ-03 | pm25=NA | no2=19.92
10/04/2022 07:00 | zone=5 | sensor=AQ-99 | pm25=12.57 | no2=-1
04/03/2021 20:00 | zone=7 | sensor=AQ-01 | pm25= | no2=-1
14/04/2022 21:00 | zone=2 | sensor=AQ-99 | pm25= | no2=N/A
23/10/2022 03:00 | zone=2 | sensor=AQ-03 | pm25=18.74 | no2=
20/03/2019 10:00 | zone=9 | sensor=AQ-02 | pm25= | no2=-1
12/09/2019 06:00 | zone=9 | sensor=AQ-02 | pm25=-5 | no2=42.79
04/01/2021 16:00 | zone=9 | sensor=AQ-02 | pm25= | no2=19.78
20/05/2022 17:00 | zone=4 | sensor=AQ-03 | pm25=12,3 | no2=
23/09/2020 13:00 | zone=9 | sensor=AQ-03 | pm25=-5 | no2=N/A
14/07/2019 05:00 | zone=10 | sensor=AQ-99 | pm25=NA | no2=-1
27/03/2021 11:00 | zone=8 | sensor=AQ-99 | pm25= | no2=20.74
16/03/2019 04:00 | zone=10 | sensor=AQ-01 | pm25=4.31 | no2=50.39
28/02/2019 02:00 | zone=6 | sensor=AQ-99 | pm25=-5 | no2=25.75
01/12/2021 07:00 | zone=1 | sensor=AQ-02 | pm25=12,3 | no2=44.05
17/11/2021 19:00 | zone=1 | sensor=AQ-01 | pm25=12,3 | no2=N/A
31/10/2019 21:00 | zone=8 | sensor=AQ-02 | pm25=12,3 | no2=-1
10/05/2020 17:00 | zone=8 | sensor=AQ-01 | pm25= | no2=N/A
03/11/2020 19:00 | zone=9 | sensor=AQ-01 | pm25=18.93 | no2=N/A
19/08/2021 08:00 | zone=9 | sensor=AQ-02 | pm25=14.19 | no2=40,7
04/11/2021 23:00 | zone=1 | sensor=AQ-01 | pm25=12,3 | no2=
19/07/2022 03:00 | zone=7 | sensor=AQ-99 | pm25=18.62 | no2=48.73
05/08/2020 03:00 | zone=5 | sensor=AQ-01 | pm25=12,3 | no2=25.46
07/06/2020 23:00 | zone=10 | sensor=AQ-01 | pm25=4.38 | no2=N/A
18/01/2020 00:00 | zone=8 | sensor=AQ-99 | pm25=NA | no2=
01/09/2021 18:00 | zone=3 | sensor=AQ-02 | pm25=-5 | no2=40,7
24/05/2020 06:00 | zone=4 | sensor=AQ-01 | pm25=24.2 | no2=
12/06/2021 23:00 | zone=8 | sensor=AQ-03 | pm25=12,3 | no2=N/A
28/06/2021 20:00 | zone=4 | sensor=AQ-99 | pm25= | no2=
28/01/2019 03:00 | zone=10 | sensor=AQ-99 | pm25=18.66 | no2=40,7
22/02/2022 06:00 | zone=999 | sensor=AQ-99 | pm25=-5 | no2=15.45
22/07/2019 17:00 | zone=2 | sensor=AQ-02 | pm25=12,3 | no2=
03/08/2021 19:00 | zone=9 | sensor=AQ-02 | pm25=12,3 | no2=40,7
