survey_id|time_id|zone_id|mode|stress_1_5|satisfaction_1_5|commentaire
1|17628|8|voiture|3|2|Correspondance ratée
2|6456|3|bus|2|2|
3|30681|6|tram|3|1|Trajet OK
4|17397|10|tram|2|3|
5;6056;3;voiture;2;1;Retard > 30min!!!
6|26175|10|métro|1|1|Station sale
7|7022|1|voiture|2|2|Service interrompu
8|14033|6|tram|4|3|Correspondance ratée
9|20382|7|bus|4|2|Null
10;5650;8;bus;2;3;Bus bondé...
11|12013|2|bus|2|3|Insécurité ressentie la nuit
12|27828|4|voiture|3|1|Trajet OK
13|3094|6|tram|3|2|Station sale
14|7567|9|bus|2|2|Bus bondé...
15|11307|6|vélo|3|1|Trajet OK
16|31402|2|métro|4|3|Station sale
17|29269|7|bus|1|2|👍
18|31389|6|métro|3|5|👍
19|38|8|voiture|3|2|Insécurité ressentie la nuit
20;11051;8;bus;3;3;Trop de retard 😡
21|29217|10|tram|4|3|Station sale
22|29326|1|voiture|3|1|Station sale
23|5731|7|métro|2|4|Station sale
24|5054|9|voiture|1|3|Retard > 30min!!!
25|30822|1|métro|2|3|
26|31962|2|bus|2|2|👍
27|15272|6|tram|2|2|
28|4269|7|métro|4|4|Correspondance ratée
29|22673|7|bus|3|3|Trop de retard 😡
30|21430|7|voiture|2|2|Bus bondé...
31|1068|6|bus|2|2|RAS
32|15397|10|métro|3|1|Station sale
33|25510|8|bus|2|3|Correspondance ratée
34|32591|8|bus|4|3|Null
35|10575|6|bus|3|2|
36|15434|8|bus|1|1|Null
37|23974|9|tram|3|3|Clim en panne
38|4146|3|voiture|2|5|Trajet OK
39|12804|3|métro|4|3|Trajet OK
40|15177|5|tram|3|2|Bus bondé...
41|34659|10|bus|2|3|Insécurité ressentie la nuit
42|3081|3|tram|1|2|Retard > 30min!!!
43|23373|1|bus|2|3|« Pas d'info »
44|5903|10|métro|2|4|Retard > 30min!!!
45|10672|3|métro|3|4|Correspondance ratée
46|21054|8|bus|3|3|Correspondance ratée
47|17096|9|métro|3|2|👍
48|16314|7|bus|4|3|
49|17717|1|métro|2|2|« Pas d'info »
50|27183|8|voiture|1|1|👍
51|33692|10|métro|3|2|RAS
52|654|6|voiture|3|3|Retard > 30min!!!
53|12925|10|bus|3|3|
54|13092|2|bus|3|3|Clim en panne
55|27139|5|voiture|4|3|Clim en panne
56|4302|8|bus|4|2|Correspondance ratée
57|15657|4|vélo|2|3|RAS
58|18238|8|voiture|4|1|Clim en panne
59|6189|4|voiture|2|1|Clim en panne
60|18936|3|bus|4|2|RAS
61|18600|3|voiture|1|2|Service interrompu
62|19733|999|vélo|2|2|Trop de retard 😡
63|28310|4|bus|1|2|Station sale
64|16053|4|métro|4|1|Null
65|26081|6|bus|1|4|Insécurité ressentie la nuit
66|23486|7|métro|2|3|Trajet OK
67|13119|3|voiture|1|3|Station sale
68|2532|5|voiture|2|2|Trajet OK
69|23215|4|voiture|3|2|Trajet OK
70|9743|9|voiture|3|4|Clim en panne
71|26974|5|bus|2|1|RAS
72|17776|3|bus|3|3|RAS
73|734|5|voiture|3|2|Station sale
74|30408|5|bus|1|3|
75|14059|8|tram|2|2|Correspondance ratée
76|7706|5|bus|3|3|
77|34297|7|métro|4|4|Clim en panne
78|1606|8|vélo|4|3|Trop de retard 😡
79|19412|7|bus|3|3|Insécurité ressentie la nuit
80|7863|6|métro|2|1|Retard > 30min!!!
81|4384|4|métro||4|Station sale
82|21708|1|métro|3|2|👍
83|3213|2|métro|2|2|Clim en panne
84|33081|2|bus||4|Null
85|21472|10|bus|3|1|Correspondance ratée
86|29747|6|bus|2|4|RAS
87|4578|5|bus|2|2|Clim en panne
88|8065|7|métro|3|3|👍
89|18256|1|tram|2|3|
90|29341|8|bus|3|2|Null
91|5685|4|bus|3|3|« Pas d'info »
92|18247|1|bus|3|2|Service interrompu
93|29738|8|bus|3|3|Trajet OK
94|17321|9|tram|2|3|Trop de retard 😡
95|30743|3|métro|3|2|Null
96|8963|4|bus|2|1|Trop de retard 😡
97|10969|2|tram|3|3|Insécurité ressentie la nuit
98|28091|10|vélo|2|1|Service interrompu
99|28657|4|voiture|1|1|"Insécurité ressentie la nuit|extra"
100|29215|9|bus|2|1|Trop de retard 😡
101|17389|2|bus|2|4|
102|20244|1|métro|2|2|Trop de retard 😡
103|17883|9|vélo|2|2|« Pas d'info »
