id,timestamp,zone_id,app_version,rating,text
1,2021-10-18T22:00:00,8,2.0.1,2,Service interrompu
2,2021-06-24T15:00:00,6,1.0.0,4,RAS
3,2022-05-09T02:00:00,7,2.0.0,1,RAS
4,2022-04-16T15:00:00,8,1.1.0,2,Trajet OK
5,2020-05-12T18:00:00,Z-7,2.0.1,5,Insécurité ressentie la nuit
6,2021-08-14T14:00:00,2,2.0.1,5,
7,2019-06-13T01:00:00,9,2.0.0,3,Trop de retard 😡
8,2019-03-07T11:00:00,8,2.0.1,4,Trop de retard 😡
9,2020-10-13T19:00:00,1,1.0.0,5,RAS
10,2020-10-14T01:00:00,2,1.1.0,2,Null
11,2022-09-23T17:00:00,9,1.1.0,5,RAS
12,2021-10-21T22:00:00,6,1.0.0,,Retard > 30min!!!
13,2022-09-24T07:00:00,9,1.1.0,5,Insécurité ressentie la nuit
14,2020-09-07T03:00:00,2,2.0.0,4,Retard > 30min!!!
15,2021-04-03T00:00:00,8,1.0.0,5,👍
16,2019-11-20T09:00:00,3,2.0.1,3,Service interrompu
17,2021-06-25T09:00:00,7,2.0.0,4,Station sale
18,2021-05-18T03:00:00,2,1.1.0,3,Insécurité ressentie la nuit
19,2019-10-25T05:00:00,7,1.1.0,,Insécurité ressentie la nuit
20,2021-07-02T23:00:00,Z-5,1.0.0,5,Insécurité ressentie la nuit
21,2021-09-09T03:00:00,1,2.0.0,5,« Pas d'info »
22,2020-04-29T12:00:00,3,2.0.1,3,👍
23,2022-04-06T10:00:00,6,1.1.0,4,RAS
24,2021-06-10T09:00:00,2,2.0.1,2,Trop de retard 😡
25,2020-01-22T21:00:00,7,1.1.0,4,Clim en panne
26,2022-10-22T03:00:00,1,1.0.0,5,Insécurité ressentie la nuit
27,2022-05-24T15:00:00,5,2.0.0,4,Trajet OK
28,2022-06-05T05:00:00,Z-3,1.1.0,2,👍
29,2019-10-21T13:00:00,4,2.0.1,3,
30,2021-10-14T14:00:00,8,2.0.1,4,Null
31,2019-04-18T19:00:00,2,1.0.0,5,Clim en panne
32,2019-04-17T06:00:00,5,1.1.0,5,Null
33,2022-09-10T08:00:00,4,2.0.1,3,Trop de retard 😡
34,2022-12-03T02:00:00,8,1.0.0,1,Trajet OK
35,2020-02-08T04:00:00,5,2.0.1,1,
36,2019-04-01T11:00:00,6,2.0.0,,Bus bondé...
37,2019-04-23T08:00:00,9,1.0.0,,Station sale
38,2019-05-10T00:00:00,9,1.0.0,5,Retard > 30min!!!
39,2020-05-03T08:00:00,999,1.1.0,,Retard > 30min!!!
40,2022-07-26T03:00:00,5,1.0.0,3,👍
41,2020-05-06T10:00:00,5,1.1.0,5,Trajet OK
42,2020-06-21T06:00:00,9,2.0.1,1,Clim en panne
43,2019-05-25T11:00:00,9,2.0.0,1,Retard > 30min!!!
44,2021-03-24T04:00:00,2,2.0.0,5,Station sale
45,2022-02-14T05:00:00,4,1.1.0,4,« Pas d'info »
46,2022-12-12T07:00:00,8,2.0.1,1,Trop de retard 😡
47,2020-09-20T00:00:00,5,1.1.0,,Service interrompu
48,2020-02-29T06:00:00,3,1.0.0,3,Clim en panne
49,2022-04-13T12:00:00,5,1.0.0,4,Bus bondé...
50,2022-06-27T22:00:00,6,2.0.1,5,Correspondance ratée
51,2021-03-21T08:00:00,7,2.0.0,4,Service interrompu
52,2022-10-23T04:00:00,6,2.0.1,,Service interrompu
53,2021-01-15T22:00:00,4,2.0.1,,Bus bondé...
54,2020-12-30T06:00:00,8,2.0.0,,Null
55,2020-01-04T13:00:00,8,2.0.1,4,Bus bondé...
56,2021-04-27T09:00:00,4,1.0.0,,Trop de retard 😡
57,2019-09-06T16:00:00,8,1.0.0,1,Station sale
58,2019-04-29T17:00:00,4,1.0.0,2,Bus bondé...
59,2021-03-13T06:00:00,4,2.0.0,5,Retard > 30min!!!
60,2020-10-04T11:00:00,2,1.0.0,1,Bus bondé...
61,2021-08-16T15:00:00,9,1.1.0,,Insécurité ressentie la nuit
62,2022-10-29T02:00:00,6,1.0.0,,Bus bondé...
63,2021-05-26T08:00:00,6,2.0.1,5,Null
64,2019-06-22T02:00:00,4,2.0.0,,Trajet OK
65,2021-03-25T00:00:00,5,1.1.0,5,Bus bondé...
66,2020-11-28T00:00:00,1,1.0.0,2,👍
67,2022-08-16T05:00:00,6,1.1.0,,
68,2021-04-20T20:00:00,6,2.0.1,2,Null
69,2020-12-26T01:00:00,6,2.0.0,5,« Pas d'info »
70,2021-10-13T16:00:00,8,1.0.0,1,Station sale
71,2019-03-04T07:00:00,4,2.0.0,1,Clim en panne
72,2022-06-01T04:00:00,2,1.1.0,1,Station sale
73,2021-08-22T13:00:00,6,1.0.0,3,Service interrompu
74,2020-06-22T19:00:00,10,1.1.0,4,
75,2020-06-17T08:00:00,8,2.0.1,,Trop de retard 😡
76,2021-03-24T10:00:00,999,2.0.0,5,Station sale
77,2019-02-05T04:00:00,5,2.0.1,4,Bus bondé...
78,2020-05-25T05:00:00,10,1.1.0,5,Station sale
79,2020-01-16T16:00:00,3,1.0.0,3,👍
80,2021-11-01T21:00:00,4,1.0.0,2,Station sale
81,2022-01-20T18:00:00,10,2.0.1,3,Insécurité ressentie la nuit
82,2020-10-13T14:00:00,2,2.0.1,1,Retard > 30min!!!
83,2022-07-02T02:00:00,1,2.0.1,1,RAS
84,2020-04-04T15:00:00,9,2.0.1,1,Null
85,2022-02-17T16:00:00,5,1.0.0,1,Service interrompu
86,2022-07-04T12:00:00,2,2.0.1,3,« Pas d'info »
87,2021-11-01T13:00:00,10,1.1.0,,Clim en panne
88,2021-07-06T17:00:00,7,2.0.1,3,Retard > 30min!!!
89,2021-04-11T04:00:00,10,2.0.1,3,Clim en panne
90,2019-12-26T19:00:00,3,1.0.0,5,Station sale
91,2019-02-16T18:00:00,9,2.0.1,,Insécurité ressentie la nuit
92,2021-01-17T01:00:00,1,1.1.0,1,Station sale
93,2019-04-11T21:00:00,8,2.0.1,1,Clim en panne
94,2022-05-18T21:00:00,999,2.0.0,4,Service interrompu
95,2019-06-24T15:00:00,1,1.0.0,3,Service interrompu
96,2021-12-19T01:00:00,9,2.0.1,5,Retard > 30min!!!
97,2019-04-04T11:00:00,2,2.0.1,1,
98,2021-10-06T23:00:00,1,1.0.0,2,RAS
99,2019-02-24T14:00:00,7,2.0.0,2,Bus bondé...
100,2021-03-20T19:00:00,2,1.0.0,5,Null
101,2020-11-29T05:00:00,999,2.0.1,4,Clim en panne
102,2021-07-01T10:00:00,4,1.1.0,1,Bus bondé...
103,2020-07-28T18:00:00,999,2.0.0,5,Insécurité ressentie la nuit
104,2021-05-06T05:00:00,3,2.0.1,5,Service interrompu
105,2021-05-01T11:00:00,8,2.0.1,,Null
106,2020-03-05T07:00:00,2,2.0.1,,Correspondance ratée
107,2021-04-09T16:00:00,8,2.0.1,5,Retard > 30min!!!
108,2020-09-13T15:00:00,1,2.0.1,4,Station sale
109,2021-11-07T09:00:00,Z-7,2.0.0,1,Service interrompu
110,2019-11-01T07:00:00,9,2.0.1,5,Bus bondé...
111,2019-07-09T02:00:00,999,1.1.0,3,Station sale
112,2020-07-02T03:00:00,4,2.0.1,5,Retard > 30min!!!
113,2020-10-04T03:00:00,7,1.1.0,,Null
114,2021-07-17T05:00:00,3,1.0.0,5,Station sale
115,2020-04-05T00:00:00,4,2.0.0,1,Null
116,2022-07-27T06:00:00,4,2.0.0,2,Station sale
117,2021-03-09T05:00:00,3,2.0.1,4,Retard > 30min!!!
118,2019-10-14T11:00:00,Z-8,2.0.0,,Station sale
119,2022-03-06T07:00:00,10,1.1.0,1,Trop de retard 😡
120,2020-11-15T19:00:00,6,2.0.0,5,
121,2020-04-17T11:00:00,5,2.0.0,2,Station sale
122,2021-03-04T10:00:00,10,2.0.1,,
123,2021-09-29T16:00:00,999,1.1.0,,Station sale
124,2019-09-07T12:00:00,9,1.1.0,5,Trajet OK
125,2020-02-06T23:00:00,1,1.1.0,2,Trajet OK
126,2021-07-10T17:00:00,999,2.0.0,,Station sale
127,2019-09-19T14:00:00,3,2.0.1,4,Trajet OK
128,2022-12-04T09:00:00,6,1.0.0,3,Trajet OK
129,2021-04-25T00:00:00,Z-7,1.0.0,5,RAS
130,2022-11-24T15:00:00,7,1.0.0,,Correspondance ratée
131,2021-03-25T20:00:00,3,2.0.0,3,Trop de retard 😡
132,2021-01-28T14:00:00,10,2.0.0,1,Clim en panne
133,2021-05-23T22:00:00,9,2.0.0,5,Bus bondé...
134,2020-03-01T22:00:00,8,1.0.0,2,Clim en panne
135,2021-10-06T22:00:00,6,1.1.0,5,RAS
136,2019-07-21T05:00:00,5,1.1.0,3,
137,2020-10-06T23:00:00,999,1.1.0,2,Insécurité ressentie la nuit
138,2022-06-27T22:00:00,4,2.0.1,3,Trop de retard 😡
139,2020-11-09T01:00:00,1,2.0.0,2,« Pas d'info »
140,2019-05-04T01:00:00,9,2.0.0,5,Clim en panne
141,2021-08-07T07:00:00,5,1.1.0,2,Station sale
142,2022-12-13T16:00:00,5,2.0.0,4,Null
143,2019-03-29T03:00:00,2,1.0.0,,Service interrompu
144,2021-11-08T16:00:00,6,1.0.0,,Trop de retard 😡
145,2019-01-30T07:00:00,4,2.0.0,2,« Pas d'info »
146,2022-04-05T07:00:00,6,1.0.0,2,« Pas d'info »
147,2022-03-10T20:00:00,8,2.0.0,,« Pas d'info »
148,2022-12-02T22:00:00,5,1.1.0,2,Correspondance ratée
149,2019-11-08T17:00:00,3,2.0.1,4,Station sale
150,2020-06-17T16:00:00,2,1.1.0,,Service interrompu
151,2022-07-18T20:00:00,5,2.0.0,4,
152,2020-10-12T07:00:00,10,1.0.0,4,👍
153,2022-03-27T18:00:00,7,2.0.1,5,Retard > 30min!!!
154,2022-03-26T13:00:00,9,2.0.1,4,Station sale
155,2021-09-10T20:00:00,3,2.0.1,,Insécurité ressentie la nuit
156,2019-10-21T13:00:00,1,2.0.0,5,Station sale
157,2022-06-02T23:00:00,1,1.0.0,3,
158,2021-09-12T06:00:00,999,1.0.0,,Retard > 30min!!!
159,2022-05-10T04:00:00,8,1.0.0,5,Station sale
160,2022-05-16T12:00:00,6,1.0.0,5,Bus bondé...
161,2020-10-17T19:00:00,6,2.0.1,1,« Pas d'info »
162,2021-05-04T07:00:00,4,2.0.0,2,Trop de retard 😡
163,2019-11-08T01:00:00,5,1.0.0,1,Service interrompu
164,2022-11-27T19:00:00,5,2.0.1,3,Retard > 30min!!!
165,2019-12-16T23:00:00,6,1.1.0,5,Service interrompu
166,2021-02-16T03:00:00,999,2.0.0,4,Trop de retard 😡
167,2021-03-17T07:00:00,8,1.1.0,5,Trop de retard 😡
168,2021-11-22T07:00:00,10,1.1.0,,Null
169,2020-12-28T21:00:00,5,1.0.0,3,👍
170,2019-11-17T03:00:00,7,1.1.0,4,👍
171,2022-04-13T03:00:00,10,2.0.1,2,Retard > 30min!!!
172,2021-05-04T13:00:00,8,2.0.0,4,Retard > 30min!!!
173,2019-07-23T13:00:00,7,1.1.0,4,Bus bondé...
174,2021-11-14T00:00:00,999,2.0.0,,Trajet OK
175,2022-12-01T01:00:00,6,2.0.1,3,RAS
176,2020-01-27T23:00:00,999,2.0.0,3,Bus bondé...
177,2020-09-17T21:00:00,6,2.0.0,1,RAS
178,2021-12-27T15:00:00,7,1.0.0,4,Clim en panne
179,2022-07-12T19:00:00,1,2.0.0,3,Insécurité ressentie la nuit
180,2020-04-21T23:00:00,10,2.0.1,,👍
181,2022-06-01T07:00:00,2,2.0.0,4,Clim en panne
182,2020-09-16T12:00:00,10,1.0.0,2,Service interrompu
183,2020-03-31T12:00:00,999,2.0.0,4,Clim en panne
184,2022-02-27T20:00:00,Z-999,2.0.1,,Retard > 30min!!!
185,2022-01-30T11:00:00,6,1.0.0,,👍
186,2020-01-18T16:00:00,10,2.0.0,5,👍
187,2019-08-13T20:00:00,2,2.0.1,,Trajet OK
188,2019-12-05T18:00:00,4,2.0.0,4,Clim en panne
189,2021-12-12T00:00:00,7,1.0.0,5,Insécurité ressentie la nuit
190,2019-06-19T17:00:00,8,2.0.1,,RAS
191,2020-10-23T22:00:00,6,1.1.0,2,« Pas d'info »
192,2022-01-23T10:00:00,2,1.0.0,4,Bus bondé...
193,2021-10-16T05:00:00,3,2.0.0,4,Null
194,2022-01-05T21:00:00,2,1.1.0,5,Service interrompu
195,2019-03-25T12:00:00,3,1.1.0,2,Service interrompu
196,2022-02-12T18:00:00,8,1.0.0,3,« Pas d'info »
197,2020-07-04T03:00:00,2,2.0.0,4,Trop de retard 😡
198,2022-08-28T16:00:00,999,1.1.0,2,Retard > 30min!!!
199,2019-09-10T12:00:00,1,2.0.0,3,Bus bondé...
200,2021-12-15T02:00:00,6,2.0.0,2,RAS
201,2022-10-22T10:00:00,6,1.0.0,2,Bus bondé...
202,2022-07-11T15:00:00,6,1.1.0,1,Trajet OK
203,2021-04-26T03:00:00,4,2.0.0,1,Insécurité ressentie la nuit
204,2021-10-27T15:00:00,5,1.1.0,4,RAS
205,2019-05-03T03:00:00,1,1.1.0,5,👍
206,2022-08-21T03:00:00,9,2.0.0,2,Bus bondé...
207,2019-12-31T23:00:00,2,1.0.0,4,Trop de retard 😡
208,2021-11-25T22:00:00,9,1.1.0,4,RAS
209,2019-06-16T14:00:00,7,2.0.1,1,Bus bondé...
210,2019-05-30T12:00:00,1,1.1.0,1,Trajet OK
211,2021-11-07T04:00:00,6,1.0.0,1,Null
212,2021-08-16T10:00:00,999,2.0.1,1,RAS
213,2019-05-31T21:00:00,999,1.1.0,2,Bus bondé...
214,2020-07-19T07:00:00,7,2.0.0,,Trop de retard 😡
215,2019-12-17T09:00:00,999,1.1.0,3,Insécurité ressentie la nuit
216,2020-05-04T08:00:00,999,1.0.0,4,Trop de retard 😡
217,2020-05-21T01:00:00,5,2.0.1,5,Null
218,2022-12-29T03:00:00,7,1.0.0,,Correspondance ratée
219,2020-11-01T04:00:00,7,2.0.0,4,Clim en panne
220,2021-08-04T22:00:00,4,1.1.0,4,👍
221,2021-11-24T05:00:00,7,2.0.1,5,👍
222,2022-10-01T05:00:00,5,1.0.0,1,Station sale
223,2021-05-17T00:00:00,1,1.0.0,3,Trop de retard 😡
224,2021-05-24T18:00:00,4,2.0.1,3,« Pas d'info »
225,2021-06-28T12:00:00,6,2.0.0,5,Bus bondé...
226,2022-06-20T03:00:00,5,2.0.1,1,Trop de retard 😡
