region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_Min
Bourgogne-Franche-Comté,2019/01/01,5.0,3.0,6.0,94.0,5.375,83.0,513.5
Bretagne,2019/01/01,10.0,7.0,13.0,92.0,10.0,87.0,507.0
Centre-Val de Loire,2019/01/01,7.0,6.0,5.0,93.0,7.0,87.0,508.0
Corse,2019/01/01,14.0,11.0,7.0,61.0,10.0,8.0,551.0
Grand Est,2019/01/01,5.5,4.5,14.0,91.0,8.3125,88.0,500.5
Hauts-de-France,2019/01/01,9.0,6.5,16.5,90.0,8.625,83.0,489.0
Normandie,2019/01/01,10.0,8.0,14.0,87.0,10.0,90.0,498.0
Nouvelle-Aquitaine,2019/01/01,8.0,3.333333333333333,12.0,91.66666666666669,8.291666666666666,39.333333333333336,526.3333333333334
Occitanie,2019/01/01,10.0,6.0,14.5,78.0,10.0,10.0,540.5
Pays de la Loire,2019/01/01,9.0,4.0,10.0,94.0,9.0,63.0,514.0
Provence-Alpes-Côte d'Azur,2019/01/01,14.0,11.0,12.0,66.0,10.0,8.0,542.0
Île-de-France,2019/01/01,9.0,7.0,9.0,86.0,9.0,93.0,500.0
Bourgogne-Franche-Comté,2019/01/02,4.0,2.0,15.0,87.5,8.1875,47.5,514.5
Bretagne,2019/01/02,8.0,5.0,15.0,89.0,9.0,57.0,508.0
Centre-Val de Loire,2019/01/02,7.0,3.0,14.0,86.0,9.0,44.0,509.0
Corse,2019/01/02,15.0,11.0,8.0,65.0,10.0,2.0,552.0
Grand Est,2019/01/02,4.5,1.5,17.5,81.5,9.5625,60.0,501.5
Hauts-de-France,2019/01/02,6.5,3.0,13.0,82.5,10.0,60.0,490.0
Normandie,2019/01/02,9.0,6.0,12.0,75.0,10.0,83.0,499.0
Nouvelle-Aquitaine,2019/01/02,7.333333333333333,4.666666666666667,17.333333333333332,90.0,9.25,35.0,527.3333333333334
Occitanie,2019/01/02,10.0,6.0,19.5,75.0,10.0,20.5,541.5
Pays de la Loire,2019/01/02,8.0,6.0,18.0,90.0,9.0,59.0,515.0
Provence-Alpes-Côte d'Azur,2019/01/02,12.0,10.0,46.0,53.0,10.0,1.0,543.0
Île-de-France,2019/01/02,8.0,5.0,12.0,76.0,10.0,35.0,501.0
Bourgogne-Franche-Comté,2019/01/03,3.0,-0.5,15.5,79.0,10.0,7.0,515.5
Bretagne,2019/01/03,6.0,1.0,12.0,86.0,10.0,28.0,509.0
Centre-Val de Loire,2019/01/03,5.0,1.0,11.0,90.0,10.0,11.0,510.0
Corse,2019/01/03,10.0,7.0,10.0,48.0,10.0,13.0,553.0
Grand Est,2019/01/03,3.0,0.5,6.5,83.5,10.0,38.5,502.5
Hauts-de-France,2019/01/03,6.0,3.0,9.0,84.0,10.0,57.0,491.5
Normandie,2019/01/03,6.0,4.0,8.0,83.0,10.0,54.0,500.0
Nouvelle-Aquitaine,2019/01/03,5.666666666666667,1.6666666666666667,18.666666666666668,76.33333333333333,10.0,19.666666666666668,528.3333333333334
Occitanie,2019/01/03,9.0,4.5,18.0,62.0,10.0,4.0,542.5
Pays de la Loire,2019/01/03,6.0,0.0,18.0,88.0,10.0,37.0,516.0
Provence-Alpes-Côte d'Azur,2019/01/03,12.0,7.0,11.0,54.0,10.0,7.0,544.0
Île-de-France,2019/01/03,7.0,3.0,10.0,83.0,10.0,20.0,502.0
Bourgogne-Franche-Comté,2019/01/04,3.5,0.0,16.0,85.0,9.375,27.5,516.5
Bretagne,2019/01/04,6.0,0.0,11.0,89.0,10.0,41.0,510.0
Centre-Val de Loire,2019/01/04,5.0,0.0,10.0,91.0,8.0,20.0,512.0
Corse,2019/01/04,9.0,5.0,8.0,53.0,10.0,32.0,554.0
Grand Est,2019/01/04,2.5,0.5,7.0,90.0,9.0,58.5,504.0
Hauts-de-France,2019/01/04,5.0,1.5,12.5,91.5,10.0,53.0,492.5
Normandie,2019/01/04,6.0,2.0,4.0,89.0,10.0,24.0,501.0
Nouvelle-Aquitaine,2019/01/04,6.0,1.0,17.0,74.0,10.0,44.0,529.3333333333334
Occitanie,2019/01/04,8.0,4.0,19.0,53.0,10.0,21.5,543.5
Pays de la Loire,2019/01/04,5.0,,15.0,91.0,10.0,43.0,517.0
Provence-Alpes-Côte d'Azur,2019/01/04,10.0,7.0,12.0,49.0,10.0,57.0,545.0
Île-de-France,2019/01/04,6.0,2.0,8.0,89.0,10.0,39.0,503.0
Bourgogne-Franche-Comté,2019/01/05,2.5,0.0,9.0,88.5,6.4375,90.5,518.0
Bretagne,2019/01/05,6.0,1.0,5.0,92.0,10.0,17.0,511.0
Centre-Val de Loire,2019/01/05,5.0,2.0,9.0,86.0,8.375,60.0,513.0
Corse,2019/01/05,10.0,8.0,11.0,72.0,10.0,37.0,555.0
Grand Est,2019/01/05,4.5,2.0,17.0,92.5,6.8125,92.0,505.0
Hauts-de-France,2019/01/05,6.0,2.5,15.5,93.0,10.0,93.0,493.5
Normandie,2019/01/05,6.0,4.0,8.0,87.0,10.0,71.0,502.0
Nouvelle-Aquitaine,2019/01/05,5.0,0.6666666666666666,11.666666666666666,85.33333333333333,8.458333333333334,27.0,530.3333333333334
Occitanie,2019/01/05,9.0,4.0,19.0,63.0,10.0,15.5,544.5
Pays de la Loire,2019/01/05,6.0,0.0,8.0,91.0,8.0,18.0,518.0
Provence-Alpes-Côte d'Azur,2019/01/05,10.0,6.0,24.0,57.0,10.0,30.0,546.0
Île-de-France,2019/01/05,6.0,3.0,10.0,83.0,10.0,79.0,506.0
Bourgogne-Franche-Comté,2019/01/06,3.0,1.5,9.5,91.5,7.4375,85.5,519.0
Bretagne,2019/01/06,6.0,3.0,8.0,93.0,8.375,85.0,513.0
Centre-Val de Loire,2019/01/06,5.0,3.0,6.0,82.0,8.0,92.0,514.0
Corse,2019/01/06,13.0,10.0,7.0,64.0,10.0,11.0,556.0
Grand Est,2019/01/06,3.0,1.5,11.0,93.5,6.6875,91.5,506.5
Hauts-de-France,2019/01/06,6.0,4.0,11.5,89.5,9.5,97.5,495.5
Normandie,2019/01/06,7.0,6.0,11.0,86.0,8.0,84.0,503.0
Nouvelle-Aquitaine,2019/01/06,4.666666666666667,1.0,12.666666666666666,87.66666666666667,8.833333333333334,52.0,531.3333333333334
Occitanie,2019/01/06,8.5,3.5,21.0,74.0,9.0,16.0,545.5
Pays de la Loire,2019/01/06,5.0,3.0,7.0,87.0,7.375,71.0,520.0
Provence-Alpes-Côte d'Azur,2019/01/06,11.0,8.0,30.0,61.0,10.0,12.0,547.0
Île-de-France,2019/01/06,5.0,3.0,6.0,88.0,9.0,99.0,507.0
Bourgogne-Franche-Comté,2019/01/07,4.0,1.0,10.5,89.5,8.1875,69.5,520.0
Bretagne,2019/01/07,10.0,5.0,10.0,95.0,7.625,67.0,514.0
Centre-Val de Loire,2019/01/07,6.0,3.0,6.0,95.0,6.375,89.0,516.0
Corse,2019/01/07,13.0,10.0,7.0,63.0,10.0,1.0,557.0
Grand Est,2019/01/07,4.5,2.0,5.5,90.0,9.1875,73.0,507.5
Hauts-de-France,2019/01/07,9.0,5.5,21.0,97.0,6.25,95.0,497.0
Normandie,2019/01/07,10.0,7.0,14.0,92.0,10.0,90.0,505.0
Nouvelle-Aquitaine,2019/01/07,6.333333333333333,3.333333333333333,9.666666666666666,91.0,9.125,72.33333333333333,533.0
Occitanie,2019/01/07,7.5,3.0,21.0,75.5,10.0,37.0,546.5
Pays de la Loire,2019/01/07,10.0,5.0,9.0,95.0,5.0,72.0,521.0
Provence-Alpes-Côte d'Azur,2019/01/07,12.0,8.0,16.0,59.0,10.0,1.0,548.0
Île-de-France,2019/01/07,7.0,5.0,10.0,91.0,10.0,93.0,508.0
Bourgogne-Franche-Comté,2019/01/08,5.5,3.0,17.0,94.0,8.125,92.0,522.0
Bretagne,2019/01/08,10.0,8.0,20.0,94.0,9.0,92.0,515.0
Centre-Val de Loire,2019/01/08,9.0,7.0,18.0,92.0,8.0,95.0,517.0
Corse,2019/01/08,10.0,9.0,13.0,81.0,10.0,29.0,558.0
Grand Est,2019/01/08,6.5,5.0,24.5,88.0,8.625,87.5,509.5
Hauts-de-France,2019/01/08,8.5,6.0,25.0,84.0,9.0625,87.0,498.5
Normandie,2019/01/08,10.0,8.0,23.0,83.0,9.0,98.0,507.0
Nouvelle-Aquitaine,2019/01/08,8.333333333333334,5.666666666666667,12.666666666666666,94.33333333333331,5.5,82.0,534.6666666666666
Occitanie,2019/01/08,9.5,4.5,28.5,79.5,9.1875,55.0,547.5
Pays de la Loire,2019/01/08,10.0,8.0,18.0,93.0,8.625,72.0,522.0
Provence-Alpes-Côte d'Azur,2019/01/08,13.0,7.0,54.0,66.0,10.0,11.0,550.0
Île-de-France,2019/01/08,9.0,7.0,17.0,85.0,8.0,80.0,509.0
Bourgogne-Franche-Comté,2019/01/09,3.0,2.0,20.0,90.0,8.25,70.0,524.0
Bretagne,2019/01/09,7.0,6.0,19.0,79.0,10.0,87.0,518.0
Centre-Val de Loire,2019/01/09,6.0,5.0,22.0,75.0,9.875,75.0,519.0
Corse,2019/01/09,12.0,9.0,10.0,69.0,9.875,32.0,559.0
Grand Est,2019/01/09,4.0,2.5,20.5,82.0,8.125,71.5,511.5
Hauts-de-France,2019/01/09,6.0,3.5,26.5,77.5,9.875,71.5,500.5
Normandie,2019/01/09,7.0,6.0,25.0,72.0,9.0,86.0,508.0
Nouvelle-Aquitaine,2019/01/09,6.0,3.6666666666666665,15.333333333333334,90.66666666666669,7.958333333333333,51.333333333333336,535.6666666666666
Occitanie,2019/01/09,8.5,6.0,29.0,72.0,9.8125,39.0,549.0
Pays de la Loire,2019/01/09,7.0,5.0,18.0,83.0,9.0,66.0,524.0
Provence-Alpes-Côte d'Azur,2019/01/09,10.0,8.0,58.0,55.0,10.0,1.0,551.0
Île-de-France,2019/01/09,7.0,5.0,22.0,73.0,10.0,57.0,511.0
Bourgogne-Franche-Comté,2019/01/10,2.5,-1.0,15.0,87.0,8.0,58.5,525.0
Bretagne,2019/01/10,7.0,2.0,14.0,91.0,10.0,46.0,519.0
Centre-Val de Loire,2019/01/10,4.0,1.0,15.0,81.0,10.0,35.0,520.0
Corse,2019/01/10,10.0,5.0,8.0,54.0,10.0,43.0,561.0
Grand Est,2019/01/10,2.0,0.0,14.0,81.5,9.3125,62.5,513.0
Hauts-de-France,2019/01/10,5.0,1.0,9.5,86.5,8.875,64.5,502.0
Normandie,2019/01/10,6.0,5.0,14.0,82.0,10.0,86.0,510.0
Nouvelle-Aquitaine,2019/01/10,4.666666666666667,1.0,16.666666666666668,86.0,9.875,38.0,536.6666666666666
Occitanie,2019/01/10,6.0,2.5,28.0,72.0,10.0,26.5,550.5
Pays de la Loire,2019/01/10,7.0,1.0,14.0,93.0,8.0,34.0,526.0
Provence-Alpes-Côte d'Azur,2019/01/10,8.0,6.0,18.0,48.0,10.0,2.0,552.0
Île-de-France,2019/01/10,5.0,2.0,13.0,73.0,10.0,41.0,513.0
