price_id|region|periode_mois|annee|mois|fuel_type|prix_unitaire|devise
286|Auvergne-Rhône-Alpes|2022-12|2022|12|diesel|1.398|EUR
891|Pays de la Loire|2019-09|2019|9|electric_kwh|€0.29|€
226|Auvergne-Rhône-Alpes|2021-04|2021|4|diesel|1.303|eur
67|Île-de-France|2020-11|2020|11|diesel|1.338|eur
1012|Grand Est|2019-02|2019|2|diesel|1.518|€
954|Pays de la Loire|2021-06|2021|6|electric_kwh|0,069|eur
252|Auvergne-Rhône-Alpes|2021-12|2021|12|electric_kwh|0.103|€
266|Auvergne-Rhône-Alpes|2022-05|2022|5|essence|1.354|eur
1050|Grand Est|2020-02|2020|2|electric_kwh|0.148|EUR
331|Provence-Alpes-Côte d'Azur|2020-03|2020|3|diesel|1,385|€
448|Occitanie|2019-06|2019|6|diesel|NA|EUR
239|Auvergne-Rhône-Alpes|2021-08|2021|8|essence|1,506|eur
59|Île-de-France|2020-08|2020|8|essence|1,580|eur
245|Auvergne-Rhône-Alpes|2021-10|2021|10|essence|1,415|EUR
93|Île-de-France|2021-07|2021|7|electric_kwh|NA|eur
870|Pays de la Loire|2019-02|2019|2|electric_kwh|0,212|€
353|Provence-Alpes-Côte d'Azur|2020-10|2020|10|essence|1.192|eur
1086|Grand Est|2021-02|2021|2|electric_kwh|0,229|€
782|Hauts-de-France|2020-09|2020|9|essence|1,554|eur
693|Nouvelle-Aquitaine|2022-03|2022|3|electric_kwh||EUR
957|Pays de la Loire|2021-07|2021|7|electric_kwh|NA|EUR
609|Nouvelle-Aquitaine|2019-11|2019|11|electric_kwh|0,111|EUR
228|Auvergne-Rhône-Alpes|2021-04|2021|4|electric_kwh|0,050|€
189|Auvergne-Rhône-Alpes|2020-03|2020|3|electric_kwh|0.096|eur
984|Pays de la Loire|2022-04|2022|4|electric_kwh|0,072|EUR
831|Hauts-de-France|2022-01|2022|1|electric_kwh|0.218|eur
89|Île-de-France|2021-06|2021|6|essence|1.724|eur
414|Provence-Alpes-Côte d'Azur|2022-06|2022|6|electric_kwh|0,262|EUR
