trafic_id;time_id;zone_id;vitesse_kmh;temps_trajet_min;congestion_index;source_sensor
1;19590;2;42.13;6.00;1;sensorB
2;33317;7;22,29;21,34;3;sensorA
3;12499;5;24.12;17,52;3;sensorA
4;11388;3;37,31;19.77;1;sensorB
5;4554;1;999.00;12,07;3;sensorB
6;8827;1;1,90;15,36;5;sensorB
7;26398;10;11,05;6.59;4;sensorB
8;4695;5;29.57;35.66;2;sensorB
9;1791;9;26,79;5.99;2;sensorA
10;6733;6;30,29;20,17;2;sensorB
11;1993;4;18,97;14.00;3;sensorB
12;21357;5;32,15;3.74;2;sensorB
13;17640;9;28,33;24,41;2;sensorB
14;31429;2;31,68;21,23;2;sensorA
15;27195;5;28,96;15,91;2;sensorA
16;11299;1;24.36;29,87;3;sensorB
17;18557;9;24,00;24.60;3;
18;10090;6;28,08;4.45;2;sensorA
19;30907;5;27.93;15,06;2;sensorB
20;8361;5;35.21;20.65;1;sensorA
21;4124;8;26.76;23,33;2;sensorA
22;16097;9;33.92;16.47;2;sensorA
23;7130;8;27.89;16,35;2;sensorA
24;305;10;35,51;30.70;1;sensorA
25;24037;4;19,11;15,73;3;sensorB
26;26216;6;26.86;19,53;2;sensorB
27;24251;3;12,06;20.14;4;sensorA
28;31293;5;30,74;32.19;2;sensorA
29;14603;2;35.77;17.40;1;sensorA
30;24471;10;38,39;16.56;1;sensorA
31;1023;5;11,30;15,76;4;sensorB
32;13167;8;24,85;16,65;3;sensorB
33;19499;1;38.82;24.27;1;sensorB
34;23143;2;20.56;16,19;3;sensorA
35;23241;5;24,82;20.25;3;sensorB
36;7083;8;31,32;25.43;2;sensorA
37;2826;3;39.62;-5.00;1;sensorB
38;21928;6;19,58;23,82;3;sensorA
39;31848;3;18.09;21.38;3;sensorB
40;9559;8;11.13;5.98;4;sensorB
41;12960;9;11.15;17,75;4;sensorB
42;20531;10;39,14;27.38;1;sensorB
43;9613;2;5.61;13,63;4;sensorA
44;30679;8;33,78;8,18;2;sensorA
45;15521;8;23.57;25,25;3;sensorB
46;28620;4;26.55;16.21;2;
47;570;3;22,22;17.74;3;sensorB
48;8866;1;0.50;20,70;5;sensorA
49;30070;4;23.38;7,65;3;sensorB
50;13243;1;25,99;22,78;2;sensorA
51;9196;7;14.00;11.86;4;sensorA
52;25874;2;41,50;15.85;1;sensorA
53;25423;1;38.28;4,67;1;sensorB
54;1348;8;20.35;20.00;3;sensorB
55;15711;6;31.85;22,80;2;sensorA
56;14066;6;8.20;4,36;4;sensorB
57;27146;3;31,81;14,83;2;sensorA
58;32506;1;33.91;28.65;2;sensorB
59;10811;4;33.68;27,46;2;sensorB
60;17559;5;20,57;20,35;3;sensorA
61;8115;1;20,69;20,66;3;sensorA
62;7130;3;34,52;22.58;2;
63;28322;7;33,57;15,45;2;sensorA
64;27006;2;10,69;7,30;4;sensorB
65;25152;1;30,86;14,89;2;sensorB
66;14376;5;34,36;17,85;2;sensorB
67;21856;6;42,68;22.25;1;
68;20023;3;18,26;26,06;3;sensorA
69;11046;9;30,27;22,19;2;sensorB
70;17556;3;27,88;23,99;2;sensorA
71;30291;2;9,78;18,85;4;sensorA
72;7377;5;39.67;15.49;1;sensorA
73;21286;5;39,27;30,07;1;sensorA
74;3023;3;36.71;16,47;1;sensorB
75;25167;4;44.71;12.00;1;sensorA
76;815;7;33,77;23,08;2;sensorA
77;26;3;36,90;17.69;1;sensorB
78;5154;8;30.72;15.57;2;sensorB
79;24020;5;25.85;23,74;2;sensorA
80;20210;8;15,31;21.72;3;sensorA
81;16295;1;38,17;11,56;1;sensorB
82;18256;4;53,26;20,19;1;sensorA
83;32111;5;35,63;3.45;1;sensorA
84;28842;6;6,65;10.64;4;sensorB
85;9345;8;50.75;18.28;1;sensorB
