event_id,time_id,line_id,stop_id,heure_theorique,heure_reelle,retard_s,annule,charge_estimee,vehicle_id
1;11178.0;4;S1173;17:00:00;17:07:40;460.0;0;83;V00016
2,24389.0,1,S1107,04:00:00,04:03:41,221.0,0,70,
3,19148.0,12,S1168,19:00:00,19:01:54,114.0,0,41,V00852
4,22935.0,5,S1169,14:00:00,14:03:07,187.0,0,23,
5,20310.0,11,S1032,05:00:00,04:58:47,-73.0,0,35,
4,11747.0,15,S1074,10:00:00,10:00:51,51.0,0,3,
7,34347.0,4,S1079,02:00:00,02:01:47,107.0,0,66,V00542
8,24771.0,3,S1060,02:00:00,01:58:52,-68.0,0,79,
9,19965.0,9,S1149,20:00:00,20:00:04,4.0,0,72,
10,33048.0,2,S1028,23:00:00,23:01:24,84.0,0,49,V00065
11,11474.0,5,S1018,01:00:00,01:07:41,461.0,0,75,
12,12006.0,15,S1123,05:00:00,04:59:40,-20.0,0,65,V00061
13,17947.0,1,S1134,18:00:00,17:55:36,-264.0,0,73,
14,15308.0,3,S1170,19:00:00,18:58:30,-90.0,0,32,
15,5740.0,12,S1136,03:00:00,02:58:30,-90.0,0,71,
16,9692.0,11,S1004,19:00:00,18:59:25,-35.0,0,9,V00037
17,24773.0,1,S1171,04:00:00,04h08,505.0,0,68,V00195
18,11740.0,8,S1052,03:00:00,03:08:35,515.0,0,45,V00248
19,26771.0,7,S1011,10:00:00,10:04:46,286.0,0,32,V00615
20,29483.0,5,S1173,10:00:00,09:58:59,-61.0,0,18,V00031
21,23928.0,14,S1138,23:00:00,23:02:10,130.0,0,65,V00797
22,704.0,7,S1096,07:00:00,07:03:56,236.0,0,29,
23,34704.0,9,S1161,23:00:00,23:00:45,45.0,0,78,V00476
24,3659.0,7,S1077,10:00:00,10:01:54,114.0,0,60,
25,5726.0,2,S1000,13:00:00,13:08:12,492.0,0,37,V00335
26,12516.0,15,S1028,11:00:00,11:02:29,149.0,0,18,V00452
27,13672.0,14,S1147,15h00,15:07:53,473.0,0,39,
28,9101.0,11,S1024,04:00:00,04:00:08,8.0,0,43,V00606
29,32235.0,8,S1095,02:00:00,02:04:44,284.0,0,32,
30,28106.0,12,S1061,01:00:00,00:59:59,-1.0,0,50,V00863
31,33981.0,4,S1041,20:00:00,20:07:27,447.0,0,87,
32,16417.0,4,S1082,00:00:00,23:59:46,-14.0,0,39,V00201
33,11568.0,1,S1173,23:00:00,22:57:02,-178.0,0,31,V00532
34,26110.0,3,S1040,21:00:00,20h55,-254.0,0,59,V00240
35,29489.0,3,S1113,16:00:00,16:02:15,135.0,0,11,
36,29050.0,14,S1047,09:00:00,08h55,-296.0,0,11,
37,31776.0,15,S1148,23:00:00,23h07,435.0,0,42,
38,11798.0,3,S1116,13:00:00,13:06:06,366.0,0,43,
39,16398.0,8,S1011,05:00:00,05h01,96.0,0,34,
